person,blog_title,link_url,overall_score,source_credibility_score,source_credibility_justification,diversity_of_sources_score,diversity_of_sources_justification,recency_and_currency_score,recency_and_currency_justification,anchor_text_quality_score,anchor_text_quality_justification,topical_relevance_score,topical_relevance_justification,integration_placement_quality_score,integration_placement_quality_justification,user_trust_eeat_alignment_score,user_trust_eeat_alignment_justification,contextual_value_contribution_score,contextual_value_contribution_justification
je,"Man Utd Keeper Situation: Onana Under Fire, Bayindir Unreliable, Lammens in the Frame",https://www.espn.com/soccer/story/_/id/46039902/man-united-goalkeeper-woes-onana-bayindir-replaced-premier-league?utm_source=chatgpt.com,8.125,9,ESPN is a highly reputable sports news source with professional content and established credibility.,4,"This is one of three unique domains in the article. The publication date of the linked article is recent (2025), which contributes positively, but the overall diversity is moderate due to the limited number of unique domains.",10,"The article was published in August 2025, making it highly current and relevant to ongoing events in the football world.",8,"The anchor text 'fifth-highest number of goal-leading mistakes' accurately reflects the content of the linked article, which discusses goalkeeper statistics and mistakes.",10,"The linked article directly discusses Manchester United's goalkeeping issues, specifically mentioning Onana and Bayindir, which is the central theme of the main article.",8,The link is integrated within a sentence discussing statistics and is well-placed to support the claims made in the main article about Onana's performance.,9,"ESPN is a well-known and trusted source for sports news, and the article is written by multiple reputable journalists and news services, aligning with E-E-A-T principles.",9,"The article provides specific statistics and detailed analysis of Manchester United's goalkeeping situation, adding significant value and evidence to the claims made in the main article."
je,"Man Utd Keeper Situation: Onana Under Fire, Bayindir Unreliable, Lammens in the Frame",https://www.manutd.com/en/news/detail/transfer-news-man-utd-sign-senne-lammens-from-royal-antwerp,8.375,8,"The source is the official Manchester United website, which is a highly credible source for news related to the club.",7,"The article links to ESPN and the official Manchester United website, representing 2 unique domains. The linked article is from 2025, which is recent. This combination results in a score of 7.",10,"The article was published on September 1, 2025, making it very current.",8,"The anchor text ""Senne Lammens"" is a direct match to the name of the player discussed in the linked article, providing clear context.",10,"The linked article is about Manchester United signing Senne Lammens, which is directly relevant to the main article's discussion of the club's goalkeeping situation and potential new signings.",8,"The link is integrated within a paragraph discussing the potential signing of Senne Lammens, providing direct support and context for the information presented.",8,"The content is from the official Manchester United website, which is an authoritative source for club news. The information is presented factually, aligning with E-E-A-T principles.",8,"The linked article provides an official confirmation and details about the transfer of Senne Lammens, adding significant value by verifying the information presented in the main article and offering a direct quote from the player."
je,"Man Utd Keeper Situation: Onana Under Fire, Bayindir Unreliable, Lammens in the Frame","https://www.manutd.com/en/news/detail/andre-onana-agrees-season-long-loan-move-to-trabzonspor#:~:text=Manchester%20United%20goalkeeper%20Andre%20Onana,giants%20Inter%20in%20July%202023.",7.375,7,"The source is the official Manchester United website, which is a credible source for news directly related to the club. However, it is a club-specific source, not a general news outlet.",3,This is the only link from manutd.com in the article. The other links are from espn.com and another manutd.com link. This limits the diversity of sources.,10,"The article was published on 2025-09-11, which is very recent and highly current.",8,"The anchor text 'OFFICIAL UPDATE: ONANA COMPLETES LOAN MOVE TO TRABZONSPOR' accurately reflects the content of the linked article, which confirms Onana's loan move.",10,"The linked article directly discusses Andre Onana's loan move, which is a key topic in the main article regarding Manchester United's goalkeeping situation.",8,"The link is placed directly below a paragraph discussing Onana's performance and is clearly marked as an 'OFFICIAL UPDATE', indicating natural integration and strong content justification.",7,"The content is from the official Manchester United website, which is a reliable source for club-related news. However, it lacks author attribution, which slightly lowers the E-E-A-T score.",7,"The article provides an official confirmation of Andre Onana's loan move, which adds factual value and supports the claims made in the main article about the goalkeeping situation. It confirms a significant event related to the player discussed."
je, United’s Wonderkids on the Move?,https://www.manutd.com/en/news/detail/rasmus-hojlund-joins-napoli-on-loan-for-2025-26-season,7.75,7,"The domain manutd.com is the official website of Manchester United Football Club, which is a highly credible source for news directly related to the club. The content is presented professionally.",7,"The article includes links to manutd.com and bbc.com, representing two unique domains. The linked article is from 2025, which is recent. This combination warrants a score of 7.",10,"The article was published on September 1, 2025, making it very current and highly relevant to recent events.",7,"The anchor text 'OFFICIAL UPDATE: HØJLUND TO JOIN NAPOLI ON LOAN' accurately reflects the content of the linked article, which details Rasmus Højlund's loan move to Napoli.",10,"The linked article is directly about Rasmus Højlund's transfer, which is a main topic of the main blog post. This provides direct and relevant information.",7,The link is placed directly below a paragraph discussing Højlund's potential move to Napoli and is preceded by the anchor text 'OFFICIAL UPDATE: HØJLUND TO JOIN NAPOLI ON LOAN'. This indicates good integration and justification.,8,"The source is the official club website, which is a trusted entity for club-related news. While specific author expertise isn't detailed, the official nature lends credibility.",7,"The article provides specific details about Rasmus Højlund's transfer, including his appearance and goal statistics for Manchester United and his FA Cup win. This adds factual context to the main article's discussion of his potential departure."
je, United’s Wonderkids on the Move?,https://www.manutd.com/en/news/detail/alejandro-garnacho-leaves-man-utd-for-chelsea,9.0,8,"The source is the official Manchester United website, which is a highly credible source for news related to the club.",7,"The article links to manutd.com, bbc.com, and another manutd.com link. While there are two unique domains, the publication dates are not available for all links, and the article itself is recent. The diversity score is moderate.",10,"The article is dated August 30, 2025, making it very current.",10,The anchor text 'Alejandro Garnacho leaves Man Utd for Chelsea' accurately and descriptively reflects the content of the linked article.,10,"The linked article directly discusses Alejandro Garnacho's transfer from Manchester United to Chelsea, which is the main topic of the section it is linked from in the main article.",10,"The link is integrated naturally within the text, supporting the claim made about Garnacho's transfer. The anchor text is also bolded and clearly presented.",8,"The content is from an official club website, which is generally trustworthy. However, the article lacks specific author attribution, slightly lowering the score.",8,"The linked article provides specific details about Garnacho's transfer, including his appearance statistics and trophies won, which adds valuable context to the main article's claims."
je, United’s Wonderkids on the Move?,https://www.bbc.com/sport/football/articles/cn47knvq4z0o,9.11,9,"The BBC is a highly reputable news source with a strong track record in sports journalism. The content is written by a known journalist, Simon Stone, adding to its credibility.",10,"The article is from 2025, which is recent. The outbound links include manutd.com, bbc.com, and another manutd.com, totaling 2 unique domains. However, the prompt states that the article is from 2025, which is very recent. The diversity of sources is 2 unique domains. Therefore, the score is 10.",10,"The article was published on September 1, 2025, making it very current and relevant to the ongoing football season.",8,"The anchor text 'OFFICIAL UPDATE: MAINOO STAYS AT MANCHESTER' accurately reflects the content of the linked article, which discusses Mainoo's potential loan move and the unlikelihood of it happening.",10,"The linked article is directly relevant to the main blog post's topic, as it provides an update on Kobbie Mainoo's situation at Manchester United, which is one of the central figures discussed in the article.",8,"The link is placed naturally within the text, following a paragraph that discusses Mainoo's desire for a loan move and the clubs interested in him. The anchor text 'OFFICIAL UPDATE: MAINOO STAYS AT MANCHESTER' is also relevant to the preceding text.",9,"The BBC is a trusted source, and the article is attributed to Simon Stone, a known sports journalist. This aligns well with E-E-A-T principles.",9,"The article provides valuable, up-to-date information on Kobbie Mainoo's potential transfer, which directly supports and expands upon the claims made in the main blog post. It offers a more detailed perspective on his situation."
je,"Cunha, Mbeumo and Šeško: Fresh Faces at Old Trafford",https://www.manutd.com/en/news/detail/official-benjamin-sesko-signs-for-manchester-united,8.5,8,"The source is the official Manchester United website, which is a highly credible source for news related to the club.",10,"There are 3 unique domains in the article, and the link is from 2025, which is recent.",10,"The article was published in August 2025, making it highly current.",8,The anchor text 'Official Manchester United Link' is descriptive and accurately represents the linked content.,10,"The linked content is an official announcement of Benjamin Sesko signing for Manchester United, which is directly relevant to the article's topic of new signings for the club.",8,"The link is placed directly below the relevant section about Benjamin Sesko and is clearly labeled as an 'Official Manchester United Link', indicating good integration.",9,"The content is from the official Manchester United website, which is an authoritative source. While specific authors are not listed, the official nature of the site lends high trust and expertise.",7,"The linked content provides an official confirmation and a quote from the player, adding value by corroborating the article's claims and offering direct insight."
je,"Cunha, Mbeumo and Šeško: Fresh Faces at Old Trafford",https://www.manutd.com/en/news/detail/transfer-news-man-utd-sign-bryan-mbeumo-from-brentford,8.75,8,"The source is manutd.com, the official website of Manchester United, which is a highly reputable source for news related to the club.",10,"The article links to three unique domains, all of which are official Manchester United news articles. The publication date of this specific article is 2025, which is recent.",10,"The article was published on July 21, 2025, making it very current.",8,The anchor text 'Official Manchester United Link:' and the URL itself clearly indicate that the link leads to an official Manchester United news article about Bryan Mbeumo's transfer.,10,"The linked content is an official announcement of Bryan Mbeumo's transfer to Manchester United, which is directly relevant to the main article discussing the same transfer.",8,"The link is placed directly below the text discussing Bryan Mbeumo and is clearly labeled as an 'Official Manchester United Link:', indicating good integration and justification.",9,"The content is from the official Manchester United website, featuring a quote from the Director of Football, Jason Wilcox. This demonstrates authority and expertise on the subject.",8,"The linked content provides an official confirmation of the transfer and includes a quote from the Director of Football, adding specific details and credibility to the information presented in the main article."
je,"Cunha, Mbeumo and Šeško: Fresh Faces at Old Trafford",https://www.manutd.com/en/news/detail/matheus-cunha-signs-for-man-utd-from-wolves,8.5,8,"The source is the official Manchester United website, which is highly credible for news related to the club's signings and official announcements.",10,"There is only one unique domain (manutd.com) across all the provided links, but the article itself is recent and the link is to an official source, contributing to a high score for this metric.",10,"The article was published on June 12, 2025, making it highly current and relevant.",8,"The anchor text 'Official Manchester United Link:' accurately describes the content of the linked URL, which is an official announcement of the player's signing.",10,"The linked content is directly relevant as it is the official announcement of Matheus Cunha's signing by Manchester United, which is the main topic of the article.",8,"The link is placed naturally within the text, directly following the mention of the player and labeled as an 'Official Manchester United Link:', clearly indicating its purpose and source.",9,"The content is from the official Manchester United website, which is an authoritative source for club news. The article includes quotes from the player, adding a layer of authenticity and user trust.",7,"The linked content provides an official confirmation and player's quote, adding value by offering direct information from the club's perspective, reinforcing the claims made in the article."
alden,Search and Recommendation at Scale - How does it work?,https://en.wikipedia.org/wiki/The_Black_Skirts,2.5,6,"Wikipedia is generally a credible source for factual information, but its content can be edited by anyone, leading to potential inaccuracies or biases. The content itself is a factual biographical entry.",3,"The article contains two outbound links, and this is the only one that is not from espn.com. Therefore, there is only one unique domain, which is low diversity.",7,"The article was last updated in October 2025, which is very recent. However, the original publication date is 2011, making the core content older.",2,"The anchor text 'their watch history, likes, clicks, or other behavioral signals' is descriptive of general user behavior but does not accurately represent the linked content, which is about a musician named The Black Skirts.",0,"The linked content is about a South Korean indie rock musician. This is completely unrelated to the article's topic, which discusses how TikTok's algorithm works.",0,"The link is embedded within a sentence discussing user behavior signals for recommendation systems, but the linked content is about a musician, making the integration and relevance extremely poor.",4,"Wikipedia is a widely recognized and generally trustworthy source for biographical information. However, it lacks the specific expertise (E-E-A-T) in the technical domain of recommendation systems that would be expected for a link in this context.",0,The linked content provides no relevant information or data that contributes to the understanding of recommendation systems or TikTok's algorithm. It is entirely off-topic.
